Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
Keep It G,Rod Wave,Nostalgia,2023-09-15,240421,True,55,,0.442,0.418,0.0,-12.428,1.0,0.238,0.0729,0.0,0.184,0.169,85.195,4.0,Alamo,keep it g,rod wave
Pass You By,Rod Wave,Nostalgia,2023-09-15,192000,True,53,,0.409,0.683,8.0,-7.502,1.0,0.048,0.528,1.68e-05,0.0952,0.326,66.958,3.0,Alamo,pass you by,rod wave
Love Story/Interlude,Rod Wave,Nostalgia,2023-09-15,316552,True,58,,0.512,0.537,1.0,-9.561,1.0,0.101,0.173,3.63e-06,0.0959,0.104,155.131,4.0,Alamo,love storyinterlude,rod wave
Back Lit,Rod Wave,Nostalgia,2023-09-15,178356,True,57,,0.72,0.636,1.0,-6.184,0.0,0.0709,0.00826,0.0,0.155,0.203,145.967,4.0,Alamo,back lit,rod wave
Strangers,Kenya Grace,Strangers,2023-09-01,172964,False,80,,0.628,0.523,11.0,-8.307,0.0,0.0946,0.701,0.00274,0.219,0.416,169.982,4.0,Warner Records/Major Recordings,strangers,kenya grace
Rap Beef,Rod Wave,Nostalgia,2023-09-15,208000,True,52,,0.66,0.666,10.0,-6.323,1.0,0.206,0.0688,0.0,0.114,0.558,158.813,4.0,Alamo,rap beef,rod wave
Lil Boo Thang,Paul Russell,Lil Boo Thang,2023-08-18,114233,False,80,,0.85,0.699,0.0,-3.292,1.0,0.0776,0.152,0.0,0.32,0.915,114.481,4.0,Arista Records,lil boo thang,paul russell
Agora Hills,Doja Cat,Scarlet,2023-09-22,265360,True,79,,0.75,0.674,8.0,-6.128,0.0,0.097,0.228,8.91e-05,0.122,0.392,123.026,4.0,Kemosabe Records/RCA Records,agora hills,doja cat
Deep Satin,Zach Bryan,Boys Of Faith,2023-09-22,211194,False,68,Country,0.509,0.697,9.0,-4.425,0.0,0.0304,0.12,0.0,0.134,0.37,75.216,4.0,Warner Records,deep satin,zach bryan
Nine Ball,Zach Bryan,Boys Of Faith,2023-09-22,169940,False,83,Country,0.597,0.658,7.0,-4.38,1.0,0.044,0.11,0.0,0.131,0.38,134.545,4.0,Warner Records,nine ball,zach bryan
500lbs,Lil Tecca,TEC,2023-09-22,144390,True,83,Melodic Rap,0.724,0.779,7.0,-5.412,0.0,0.0807,0.098,0.0,0.127,0.53,123.013,4.0,Galactic Records/Lil Tecca,500lbs,lil tecca
